district_code,district_name_raw,total_applications,approved_applications,rejected_applications,net_approved,pending_applications,cat1_beneficiaries,cat2_beneficiaries,district_name_norm
1,Saharanpur,87707,67489,2049,65440,18864,1354,762,saharanpur
2,Muzaffarnagar,49801,37095,376,36719,12097,609,418,muzaffarnagar
3,Bijnor,65840,47233,1234,45999,18026,581,486,bijnor
4,Moradabad,54591,32209,527,31682,21685,697,499,moradabad
5,Rampur,35811,17766,667,17099,17587,458,385,rampur
6,Amroha,40069,27852,1177,26675,11926,291,284,amroha
7,Meerut,51500,32740,1163,31577,18027,733,367,meerut
8,Baghpat,26672,21687,520,21167,4600,385,201,baghpat
9,Ghaziabad,62390,44411,1077,43334,17529,450,326,ghaziabad
10,Gautam Buddha Nagar,15026,9449,106,9343,5340,237,89,gautam buddha nagar
11,Bulandshahr,55501,39593,1110,38483,15191,717,418,bulandshahr
12,Aligarh,48788,31514,882,30632,16939,335,273,aligarh
13,Mahamaya Nagar (Hathras),29959,20711,398,20313,9019,229,211,hathras
14,Mathura,48451,30286,653,29633,17687,478,353,mathura
15,Agra,59615,23536,224,23312,35232,847,249,agra
16,Firozabad,50235,32642,597,32045,17063,530,279,firozabad
17,Etah,31927,19828,364,19464,11988,111,111,etah
18,Mainpuri,30918,17085,496,16589,13657,176,155,mainpuri
19,Budaun,47794,30774,829,29945,16447,573,387,budaun
20,Bareilly,67577,42930,1299,41631,23494,1153,686,bareilly
21,Pilibhit,47952,32923,1161,31762,14064,965,747,pilibhit
22,Shahjahanpur,55694,35242,914,34328,19451,1001,511,shahjahanpur
23,Kheri,109648,68762,1424,67338,39951,935,522,kheri
24,Sitapur,116739,82597,1186,81411,32892,1250,876,sitapur
25,Hardoi,104956,86316,1797,84519,17695,945,773,hardoi
26,Unnao,129549,97174,1648,95526,30886,1489,961,unnao
27,Lucknow,103143,73130,2499,70631,28746,1267,658,lucknow
28,Rae Bareli,93972,70925,1519,69406,22478,569,411,rae bareli
29,Farrukhabad,41434,27137,243,26894,14070,227,227,farrukhabad
30,Kannauj,38966,28254,550,27704,10205,507,340,kannauj
31,Etawah,28496,14472,123,14349,13773,251,240,etawah
32,Auraiya,18526,9056,297,8759,9358,112,99,auraiya
33,Kanpur Dehat,50632,29987,822,29165,20266,379,310,kanpur dehat
34,Kanpur Nagar,77983,35095,536,34559,41731,1157,405,kanpur nagar
35,Jalaun,34872,22750,628,22122,11733,389,340,jalaun
36,Jhansi,60582,42950,1480,41470,17093,539,397,jhansi
37,Lalitpur,59362,38664,2622,36042,20436,262,224,lalitpur
38,Hamirpur,24885,17239,935,16304,7254,392,160,hamirpur
39,Mahoba,19268,16688,444,16244,2244,336,95,mahoba
40,Banda,58760,31272,1354,29918,27116,372,250,banda
41,Chitrakoot,24074,18664,539,18125,5129,281,191,chitrakoot
42,Fatehpur,94798,53117,1425,51692,40775,906,501,fatehpur
43,Pratapgarh,104311,43467,799,42668,60553,291,219,pratapgarh
44,Kaushambi,38661,28389,1042,27347,10062,210,206,kaushambi
45,Prayagraj,111255,62037,687,61350,48119,1099,289,prayagraj
46,Barabanki,58048,42442,1384,41058,14425,1181,952,barabanki
47,Ayodhya,79964,39355,51,39304,39602,1007,339,ayodhya
48,Ambedkar Nagar ,64865,36200,703,35497,28289,376,261,ambedkar nagar
49,Sultanpur,70950,47981,1296,46685,22478,491,478,sultanpur
50,Bahraich,100274,61436,1503,59933,37974,864,550,bahraich
51,Shravasti,25198,11616,388,11228,13437,145,94,shravasti
52,Balrampur ,25388,17313,471,16842,7619,456,150,balrampur
53,Gonda,126260,66850,733,66117,58457,953,591,gonda
54,Siddharth Nagar,42653,26547,510,26037,15670,436,275,siddharth nagar
55,Basti,58141,35898,364,35534,21923,320,173,basti
56,Sant Kabeer Nagar,34709,18504,528,17976,15959,246,167,sant kabeer nagar
57,Maharajganj,68699,44338,1741,42597,24018,343,291,maharajganj
58,Gorakhpur,107956,57597,947,56650,49396,963,478,gorakhpur
59,Kushi Nagar,92615,49115,967,48148,42878,622,323,kushi nagar
60,Deoria,66285,40265,1544,38721,25437,583,413,deoria
61,Azamgarh,91477,43829,406,43423,47121,527,360,azamgarh
62,Mau,56359,29552,312,29240,26573,234,181,mau
63,Ballia,107740,42800,896,41904,64351,589,248,ballia
64,Jaunpur,126916,75591,1688,73903,50325,1000,358,jaunpur
65,Ghazipur,56530,33470,382,33088,22864,196,190,ghazipur
66,Chandauli ,64852,37258,1554,35704,27226,368,307,chandauli
67,Varanasi,141214,83858,1175,82683,56218,1138,484,varanasi
68,Bhadohi,42412,20176,440,19736,21897,339,270,bhadohi
69,Mirzapur,60584,37122,1168,35954,22403,1059,776,mirzapur
70,Sonbhadra,32432,25691,488,25203,6420,321,175,sonbhadra
71,Kasganj,26633,21159,508,20651,5180,294,211,kasganj
72,Amethi,39117,28372,187,28185,10362,383,276,amethi
73,Hapur,15581,11115,259,10856,4389,77,71,hapur
74,Shamli,27752,19753,369,19384,7710,289,213,shamli
75,Sambhal,53290,33631,2139,31492,19241,418,405,sambhal
